金蝶数据库表结构  
2011-03-0519:27:28|  分类： 默认分类 |  标签： |字号大中小 订阅

统ID 表ID 表名 表中文名 表说明 
2 20044 t_PANewDataIDs 工资历史数据表 工资历史数据表 

2 20045 t_PANoteItem 打印设置表 打印设置表 

2 20046 t_PASortItem 工资过虑条件排序表 工资过虑条件排序表 

2 20047 t_PATrans 工资系统预留二表 工资系统预留二表 

2 20048 t_PaZeroSet 工资扣零设置表 工资扣零设置表



3 30000 t_FAAlterMode 变动方式表 变动方式表 

3 30001 t_FAGroup 资产类别表 资产类别表 

3 30002 t_FAStatus 使用状态表 使用状态表 

3 30003 t_FALocation 存放地点表 存放地点表 

3 30004 t_FAEconomyUse 经济用途表 经济用途表 

3 30005 t_FACardItemDefine 卡片项目定义表存储卡片自定义项目的各项属性 

3 30006 t_FAGroupItem 类别项目对照表存储固定资产类别与自定义项目之间的对应关系 

3 30007 t_FADeprMethod 折旧方法定义表存储预设的和用户自定义的折旧方法 

3 30008 t_FaDeprFormulaItems 折旧公式项目表存储在折旧公式中用到的卡片项目 

3 30009 t_FAUserDeprRate 每期自定义折旧率表存储自定义折旧方法的每期折旧率 

3 30010 t_FAAlter 变动基本表 存储卡片变动信息 

3 30011 t_FACard 卡片表 存储卡片基本信息 

3 30012 t_FADevice 附属设备表 存储卡片附属设备信息 

3 30013 t_FAOrgFor 原值原币表 存储卡片原值原币信息 

3 30014 t_FADept 部门分配表 存储卡片的部门分配信息 

3 30015 t_FAExpense 折旧费用分配表折旧费用分配到科目、核算项目的情况 

3 30016 t_FACardItem 卡片自定义项目表存储卡片的各自定义项目的值，字段数动态增长 

3 30017 t_FABalance 余额表余额信息主表，与变动表t_FaAlter相对应 

3 30018 t_FABalCard 卡片每期状况表 卡片的基本余额信息 

3 30019 t_FABalDevice 附属设备每期状况表卡片的附属设备的余额信息 

3 30020 t_FABalOrgFor 原值原币每期状况表卡片的原值原币的余额信息 

3 30021 t_FABalDept 部门每期分配情况表 每期的部门分配情况 

3 30022 t_FABalExpense 折旧费用每期分配情况表每期的折旧费用分配情况 

3 30023 t_FABalCardItem 卡片自定义项目每期状况表卡片自定义项目每一期的值 

3 30024 t_FAClear 报废清理表 记录卡片报废清理情况 

3 30025 t_FAVoucher 凭证对照表存储卡片变动信息与生成的凭证之间的对应关系 

3 30026 t_FARptSheetSchemeItems 固定资产清单显示方案表存储用户设置的固定资产清单的显示方案 

3 30027 t_FASchemes 显示方案表存储除固定资产清单外其它地方用到的显示方案 

3 30028 t_FASchmFilter 过滤条件表 存储显示方案中的过滤条件 

3 30029 t_FASchmOption 选项设置表 存储显示方案中的选项设置 

3 30030 t_FASchmSort 索引条件表 存储显示方案中的索引条件 

3 30031 t_FASchmSumItems 汇总项目表存储显示方案中的汇总项目（除清单以外的报表用到） 

3 30032 t_FACardMulAlter 多次变动基本表存储卡片多次变动信息 

3 30033 t_FADeptMulAlter 部门多次变动表存储卡片多次变动时部门分配信息 

3 30034 t_FADeviceMulAlter 附属设备多次变动表存储卡片多次变动时附属设备信息 

3 30035 t_FAExpenseDetailMulAlter 折旧费用分配明细多次变动表存储卡片多次变动时折旧费用分配明细信息 

3 30036 t_FAExpenseMulAlter 折旧费用分配多次变动表存储卡片多次变动时折旧费用分配信息 

3 30037 t_FAOrgForMulAlter 原值原币多次变动表存储卡片多次变动时原值原币信息 

3 30038 t_FADeviceBill 检修单据表  

3 30039 t_FADeviceItem 单据自定义项目表  

3 30040 t_FADeviceItemDefine 单据项目定义表单据项目定义表 

3 30041 t_FADeviceGroupItem 检修单中类别项目对照表存储检修单中固定资产类别同自定义项目对应关系 

3 30042 t_FABalPurchase 修购基金余额表 修购基金余额表 

3 30043 t_FAPurchase 修购基金表 修购基金表 

3 30044 t_FAPurchaseDetailMulAlter 修购基金多次变动明细表修购基金多次变动明细表 

3 30045 t_FAPurchaseMulAlter 修购基金多次变动表修购基金多次变动表 

3 30046 t_FAImage 自定义项目图片表 自定义项目图片表 

3 30047 t_FaTmpCard 卡片暂存表 存放暂存卡片 

4 40000 cn_account 科目表 科目表 

4 40001 cn_Bill_ChequeStatus 支票状态表 支票状态表 

4 40002 cn_Bill_ChequeVolume 支票购置表 支票购置表 

4 40003 cn_Bill_Endorse 背书信息表 背书信息表 

4 40004 cn_xjpd 现金盘点单主表 现金盘点单主表 



4 40005 cn_xjpd_detail 现金盘点单明细表 现金盘点单明细表 

4 40006 cn_yhdzd 银行对账单表 银行对账单表 

4 40007 cn_yhdzd_ImportDesign 银行对账单引入方案表银行对账单引入方案表 

4 40008 cn_lcye 年初余额表 年初余额表 

4 40009 cn_combineKm 综合币科目表 综合币科目表 

4 40010 cn_Bill 票据表 票据表 

4 40011 cn_Bill_Cheque 支票表 支票表 

4 40012 cn_yhdzd_ImportDesign 银行对账单引入方案表银行对账单引入方案表 

4 40013 cn_yhrjz 银行存款日记账 银行存款日记账 

4 40014 cn_yhrjz 银行存款日记账 银行存款日记账 

4 40015 cn_lsz_lcye 现金流水账余额表 现金流水账余额表 

4 40016 cn_xjlsz 现金流水账 现金流水账 

4 40017 cn_BillType 票据类别表 票据类别表 

4 40018 cn_xjrjz 现金日记账表 现金日记账表 

5 50000 STInvoice 销售发票 销售发票表头 

5 50001 STInvoiceDetail 销售发票分录表 销售发票表体 

5 50002 t_rp_ARBillOfSH 收款单 收款单 

5 50003 t_RP_Bill 应收应付票据表FRP=1-应收：FRP=0-应付 

5 50004 t_rp_bill_discount 应收票据贴现保存每张票据贴现情况记录 

5 50005 t_RP_Bill_Endorse 应收票据背书对应的应收票据背书记录 

5 50006 t_RP_Bill_Settle 应收、应付票据的结算表票据结算记录 

5 50007 t_RP_Bill_Transfer 应收票据转让 票据转出记录 

5 50008 t_RP_BillNumber 票据号码表 保存最新的票据号码 

5 50009 t_Rp_CheckDetail 核销明细每次核销前的金额及核销后的余额 

5 50010 t_rp_CheckEntry 存货核销表对存货核销的的数量与金额记录 

5 50011 t_RP_Contact 应收、应付往来表往来账明细表。FRP=1-应收：FRP=0-应付 

5 50012 t_RP_ContactBal 往来余额表往来账余额表。FRP=1-应收：FRP=0-应付 

5 50013 t_RP_NewBadDebt 坏账备查簿 1 

5 50014 t_RP_NewCheckInfo 核销日志核销业务详细记录。FRP=1-应收：FRP=0-应付 

5 50015 t_RP_NewReceiveBill 收款单 收款单 

5 50016 t_RPAgeGroup 账龄分组表 账龄期间表 

5 50017 t_RPAssure 担保信息表担保资料。FRP=1-应收：FRP=0-应付 

5 50018 t_rp_BegData 应收应付账期初数据FRP=1-应收：FRP=0-应付 

5 50019 t_RPContract 合同表合同资料。FRP=1-应收：FRP=0-应付 

5 50020 t_RPContractDetail 合同已收款明细表合同收款资料。FRP=1-应收：FRP=0-应付 

5 50021 t_RPContractScheme 收款计划明细表合同收款计划资料。FRP=1-应收：FRP=0-应付 

5 50022 t_rp_BillFore 票据前手表票据附加前手列表（入账的前手在票据表中） 

5 50023 t_rp_BillFreeItem 单据自由项表 单据自由项 

5 50024 t_rp_BegDataEntry 期初发票明细表 期初发票存货分录 

5 50025 t_rp_BadPrepare 坏账计提明细表 坏账计提明细表 

5 50026 t_rp_Exchange 收款单分录 收款单分录 

5 50027 t_RP_SystemEnum 系统枚举类型 系统枚举类型 

5 50028 t_RP_SystemProfile 系统参数表 系统参数表 

5 50029 t_RPBillDeal 票据处理信息 票据处理信息 

5 50030 t_rpContractEntry 合同分录表 合同分录表 

5 50031 t_RPVoucherAndBill 单据凭证对应表 单据凭证对应表 

5 50032 t_RP_BadCustInfo 账龄分析法时按客户保存表账龄分析法时按客户保存表 

5 50033 t_RP_NewBadDebtEntry 坏账备查簿明细表坏账发生及收回情况表 

